title,year,listed_in,country,weighted_average_vote,weighted_allgenders_0age,weighted_allgenders_18age,weighted_allgenders_30age,weighted_allgenders_45age,weighted_males_allages,weighted_males_0age,weighted_males_18age,weighted_males_30age,weighted_males_45age,weighted_females_allages,weighted_females_0age,weighted_females_18age,weighted_females_30age,weighted_females_45age
Murder Party,2007,"Comedies, Cult Movies, Horror Movies",United States,5.8,5.900695134,5.9,5.816730801,5.7842815,5.9,5.9,5.958949097,5.818497965,5.791407678,5.804166667,5.900199601,5.831125828,5.832714001,5.873160173
Mute,2018,"Sci-Fi & Fantasy, Thrillers","United Kingdom, Germany",5.4,5.875098814,5.404858441,5.437196846,5.65958292,5.425028783,5.884011917,5.348273671,5.443832734,5.668150841,5.821445421,5.901195219,5.852548607,5.77079646,5.936020473
My Amnesia Girl,2010,"International Movies, Romantic Movies",Philippines,6.8,0,6.016100179,5.993939394,5.908171206,5.975191164,0,5.953377735,5.917017383,5.902152642,6.034240562,0,5.961913696,5.971266541,5.90417495
My Friend Pinto,2011,"Comedies, International Movies, Sci-Fi & Fantasy",India,5.3,0,5.822304833,5.851889169,5.875193798,5.793081761,0,5.819402985,5.855754476,5.888758553,5.881959263,0,5.906374502,5.895275591,5.888404361
My Stupid Boss 2,2019,"Comedies, International Movies",Indonesia,6.6,5.899201597,5.926168224,5.952451434,5.9039801,5.96483899,5.899100899,5.920493359,5.935028249,5.9039801,5.936276392,5.9000999,5.909486166,5.915187377,0
My Suicide,2009,"Comedies, Dramas, Independent Movies",United States,7.1,5.900299103,6.448060487,6.320272904,5.917218543,6.420137059,5.900299103,6.244375963,6.201741655,5.9,6.399435028,0,6.206224066,6.102422145,5.927061106
Mystic Pizza,1988,"Comedies, Dramas, Independent Movies",United States,6.3,5.904191617,6.234217507,6.079687183,6.251148021,6.082302451,0,6.056542909,5.9,6.148822927,6.435289042,5.903096903,6.300854701,6.305606947,6.451475614
Mystic River,2003,"Dramas, Thrillers","United States, Australia",7.9,6.068605725,7.970107613,7.89023032,7.762288119,7.892854948,6.022568461,8.061886283,7.888329278,7.754278564,7.863046451,5.921407334,7.741332804,7.837663633,7.678098302
Namak Halaal,1982,"Action & Adventure, Comedies, International Movies",India,7.3,5.901098901,6.238461538,6.713186813,6.02004971,6.774474474,5.901098901,6.242598187,6.682982792,6.004761905,6.095652174,0,5.917738791,6.031734317,5.926290166
Nang Nak,1999,"Horror Movies, International Movies, Romantic Movies",Thailand,6.5,0,5.976896251,6.138336347,6.076570219,6.200897308,0,5.980327869,6.108099282,6.030723781,5.996122779,0,5.895328885,5.954367201,5.953926206
Next,2007,"Action & Adventure, Sci-Fi & Fantasy",United States,6.2,5.906457926,6.283524857,6.196167065,6.279931768,6.197277455,5.901477833,6.280881369,6.195711897,6.277132403,6.179124626,5.90417495,6.126271811,6.076787372,6.242271293
Night Moves,2013,"Dramas, Independent Movies, Thrillers",United States,6,5.909731877,6.180311191,5.986948577,5.827019724,5.991206472,5.905383848,6.226929733,5.985054551,5.829841838,5.774850299,5.905179283,5.929577465,5.761203654,5.808641975
Ninja Assassin,2009,Action & Adventure,"Germany, United States, France",6.3,5.909792285,6.361916368,6.289832749,6.246928486,6.292656778,5.904170804,6.357795222,6.288930094,6.241580254,6.479828326,5.902195609,6.332014719,6.419773429,6.159471366
No Entry,2005,"Comedies, International Movies",India,6.6,5.905383848,6.420558831,6.457491857,5.943382929,6.510828025,5.905383848,6.482194392,6.446524885,5.950623441,5.980810489,0,5.934983498,5.950187266,5.873134328
No One Killed Jessica,2011,"Dramas, International Movies",India,7.2,5.906965174,7.018514751,6.900033328,6.083911234,7.051953081,5.902392822,6.983911234,6.879452307,6.029903775,6.601048427,5.905189621,6.277692895,6.344736842,6.004047838
No Other Woman,2011,"Dramas, International Movies, Romantic Movies",Philippines,6.3,0,5.938999056,5.9,5.892927308,5.877777778,0,5.9,5.877264325,5.892885375,5.996350365,0,5.937209302,5.938755981,5.900497512
Nowhere Boy,2009,Dramas,"United Kingdom, Canada",7.1,5.92475442,7.166641265,6.927190892,6.815188172,6.945071407,5.913492063,6.974227162,6.897273067,6.774682507,7.175710227,5.908919722,7.213364386,6.951481552,6.54771701
Ocean's Thirteen,2007,"Action & Adventure, Comedies",United States,6.9,5.996657633,7.08156682,6.794172494,6.576359338,6.895427484,5.97493062,7.077615281,6.793168103,6.572180272,6.874126109,5.911023622,6.996103896,6.854734746,6.62078853
Ocean's Twelve,2004,"Action & Adventure, Comedies",United States,6.5,5.956344277,6.688514493,6.397045284,6.191290716,6.497467371,5.942543458,6.685870967,6.396479939,6.189641599,6.682489548,5.911764706,6.822803767,6.573458709,6.482431979
Oh Darling Yeh Hai India,1995,"Action & Adventure, Comedies, International Movies",India,4.2,0,5.771327573,4.924884793,5.746643718,4.992857143,0,5.810172272,5.048865727,5.758645276,5.570843776,0,5.861904762,5.631578947,5.865384615
Om Shanti Om,2007,"Comedies, Dramas, International Movies",India,6.7,5.926522593,6.824397067,6.179544525,6.482289056,6.476545092,5.917408506,6.813442396,6.084118161,6.298595083,6.954624387,5.908366534,6.694949495,6.632475777,6.396596669
Once Upon a Time in Mumbaai,2010,"Dramas, International Movies, Music & Musicals",India,7.4,5.89652433,7.421448468,6.920332385,6.051234106,7.282481981,5.89652433,7.410564399,6.911172305,6.009679938,6.356044637,0,6.103322259,6.147947328,5.951233397
Once Upon a Time in Mumbai Dobaara!,2013,"Dramas, International Movies, Music & Musicals",India,4.6,5.899401795,5.050058343,4.871837026,5.786713287,4.762713455,5.899401795,5.064520049,4.902182913,5.779136691,5.755927052,0,5.854924579,5.806713781,5.90620155
One 2 Ka 4,2001,"Action & Adventure, Comedies, Dramas",India,5.4,0,5.955197133,5.292587776,5.836779795,5.445631068,0,5.9,5.325497288,5.748896435,5.862150404,0,5.947474747,5.738876059,5.988970588
Organize Isler,2005,"Action & Adventure, Comedies, International Movies",Turkey,7.4,5.934146341,7.411613475,7.192390469,6.590243902,7.326246435,5.93496572,7.466748737,7.176630243,6.542105263,6.872048436,5.898203593,6.701675978,6.614759402,6.057644991
Oththa Seruppu Size 7,2019,"Dramas, International Movies, Thrillers",India,8.6,5.91840796,6.839534884,6.540548341,5.942145594,7.268356229,5.915537849,6.839215686,6.492987582,5.935446686,5.975169738,0,5.912698413,5.930799605,5.906187625
Our House,2018,"Horror Movies, Thrillers","Canada, United States, Germany",5.3,5.897512438,5.567840252,5.472265289,5.690294957,5.433096717,5.901195219,5.611182109,5.449376559,5.669396552,5.621043324,5.898101898,5.731914894,5.672439479,5.881168831
Oye Lucky! Lucky Oye!,2008,"Comedies, Dramas, International Movies",India,7.7,5.902487562,7.440967498,7.485943632,6.049122807,7.564130435,5.902487562,7.428034456,7.564150943,6.033699634,6.416161616,0,6.099313894,6.281416603,5.91042654
Paheli,2005,"Dramas, International Movies, Romantic Movies",India,6.5,5.900299103,6.605363322,6.153336444,6.305766063,6.347960033,5.899201597,6.585151587,6.06400288,6.120012666,6.512853271,5.901098901,6.16440678,6.359167117,6.224595469
Paint It Black,2016,Dramas,United States,5.6,5.9,5.9,5.854679041,5.829100529,5.784697509,5.902392822,5.9,5.827600328,5.850045005,5.911347518,5.898203593,5.9,5.924765478,5.883218842
Palermo Hollywood,2004,"Dramas, International Movies",Argentina,5.3,0,5.901195219,5.871253534,5.862463908,5.829261623,0,5.897308076,5.868720379,5.858301158,5.90990099,0,5.904095904,5.90417495,5.900299103
Panic Room,2002,Thrillers,United States,6.8,6.002946593,6.876685085,6.693488842,6.674248374,6.794435755,5.966855524,6.964662041,6.691988544,6.669257964,6.777620847,5.926104024,6.817796958,6.664529573,6.637983798
Paranormal Activity,2007,"Horror Movies, Thrillers",United States,6.3,5.878810409,6.194212628,6.395377176,6.090021454,6.297313958,5.889393939,6.192345767,6.39441041,6.088179669,6.094279667,5.897433366,5.9,6.183940903,5.97403946
ParaNorman,2012,"Children & Family Movies, Comedies",United States,7,5.979189687,7.046447697,6.876634422,6.800586539,6.882667776,5.952542373,7.021890256,6.869828627,6.692511645,7.133926302,5.92423945,7.119074696,6.981458066,6.564011098
Pardes,1997,"Dramas, International Movies, Romantic Movies",India,7,5.911553785,7.01636953,6.574411303,6.106557377,6.801107595,5.908374875,6.988334817,6.560335196,6.011815562,6.518177836,5.903096903,6.285794655,6.20617284,6.051590106
Patiala House,2011,"Dramas, International Movies, Sports Movies",India,5.6,5.90329013,5.830864198,5.483094294,5.849169435,5.572098053,5.902195609,5.832562683,5.497823937,5.834027778,5.9,5.901098901,5.926989619,5.86194332,5.914013346
Paying Guests,2009,"Comedies, International Movies",India,4.2,0,5.778538813,5.486697966,5.834104046,5.417715959,0,5.783763838,5.524879615,5.840816327,5.820912548,0,5.902970297,5.827837051,5.890188305
Penalty,2019,"Dramas, Independent Movies, International Movies",India,5.6,0,5.87027027,5.791715976,5.903567889,5.748765894,0,5.871493213,5.795744681,5.902380952,5.882591494,0,0,5.888667992,5.903096903
Penelope,2006,"Children & Family Movies, Comedies, Romantic Movies","United Kingdom, United States",6.7,5.905928854,6.741053183,6.672552921,6.492703863,6.374484589,5.899401795,6.196986866,6.452859837,6.288765295,6.965092663,5.90802775,6.909673181,6.935706353,6.691697856
Perfect Stranger,2007,Thrillers,United States,5.7,5.891633466,5.981708432,5.707839755,5.634586119,5.609867772,5.890428714,5.825503698,5.614647722,5.641362195,6.077688532,5.901098901,6.14,5.98290306,5.843308792
Phantom Boy,2015,"Action & Adventure, Dramas, International Movies","France, Belgium",6.6,5.9039801,6.036392915,6.140682415,6.027186761,6.183544304,5.902195609,5.988491049,6.083333333,5.993826158,6.040506329,5.904187438,5.948826291,5.962011173,5.927061106
Philadelphia,1993,"Classic Movies, Dramas, LGBTQ Movies",United States,7.7,5.993838863,7.741107185,7.683342279,7.548031303,7.587986205,5.952427184,7.627504128,7.580334089,7.439033684,7.941647216,5.92364532,7.737138566,7.806419614,7.699613789
Phir Bhi Dil Hai Hindustani,2000,"Comedies, Dramas, International Movies",India,6.2,5.904191617,6.370341207,5.9,5.996279423,6.064279336,5.904191617,6.351243781,5.830102348,5.882101806,6.222957662,0,6.059259259,5.996739955,6.013868613
Phir Hera Pheri,2006,"Comedies, International Movies",India,6.9,5.978988327,6.975784753,5.9,5.8187251,6.62249564,5.95553379,6.964279238,5.9,5.850208507,5.933687003,5.902097902,5.991094148,5.827868852,5.862631077
Phobia 2,2009,"Horror Movies, International Movies",Thailand,6.7,5.90329013,6.208914997,6.317773531,5.984293607,6.375719497,5.90329013,6.136641221,6.272649573,5.970239077,6.163057325,0,6.003539823,6.058649094,5.927480916
Phone Swap,2012,"Comedies, International Movies, Romantic Movies",Nigeria,6.1,0,5.90703125,5.938461538,5.84609375,5.852376514,0,5.892927308,5.922807018,5.841878669,5.930136986,0,5.914910537,5.911549852,5.905189621
Pitaah,2002,"Dramas, International Movies, Music & Musicals",India,6.4,0,5.970503597,6.036627907,5.931818182,6.066888741,0,5.954545455,6.026028422,5.914643545,5.938727783,0,5.91305638,5.907135969,5.917681729
"Pizza, birra, faso",1998,"Dramas, International Movies",Argentina,7.1,5.90329013,6.261424332,6.477916019,6.088846448,6.618265757,5.902097902,6.219753086,6.445692475,6.074511337,6.03718723,5.901098901,5.945043311,5.981726354,5.907317073
Planet 51,2009,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","Spain, United Kingdom, United States",6,5.881690141,5.9,6.091872562,6.159475888,5.997054665,5.884629981,5.812233912,6.089968904,6.153675108,6.168250609,5.899206349,6.046524064,6.226699652,6.085061795
Platoon,1986,"Action & Adventure, Classic Movies, Dramas","United States, United Kingdom",8.1,6.083649503,7.959668126,8.086556019,8.065468529,8.091651804,6.04986124,7.955608168,8.085313654,8.060469337,7.726210727,5.92983317,7.351365485,7.65563407,7.656038058
Players,2012,"Action & Adventure, International Movies",India,4.1,5.900299103,4.942682394,4.635322196,5.711072664,4.493506494,5.900299103,4.980891135,4.680503145,5.710934744,5.600628931,0,5.790909091,5.679359431,5.887084149
Poseidon,2006,"Action & Adventure, Dramas",United States,5.7,5.9,5.806085686,5.606085193,5.619295086,5.604403153,5.896463654,5.807774841,5.607182532,5.622354694,5.80717566,5.904771372,5.977298524,5.72468831,5.9
Professor,1962,"Comedies, Dramas, International Movies",India,7.1,0,5.93046875,6.016773602,5.90430622,6.018165785,0,5.922374877,5.986181139,5.9,5.946511628,0,5.907462687,5.933562316,5.904170804
Pukar,2000,"Action & Adventure, Dramas, International Movies",India,6.8,0,6.154287845,6.458693733,5.869058296,6.451432998,0,6.125406662,6.381395349,5.868663594,6.117568693,0,5.9607245,6.053500898,5.9
Pulp Fiction,1994,"Classic Movies, Cult Movies, Dramas",United States,8.9,7.695875384,8.891724572,8.895656693,8.683997805,8.897259155,7.442811502,8.98917968,8.994677006,8.780106601,8.487510568,6.355610973,8.56061499,8.473848583,8.210614525
Pusher,2012,Action & Adventure,United Kingdom,5.5,5.901195219,5.77173913,5.619402985,5.694741967,5.584656085,5.898203593,5.780504909,5.626302494,5.702942669,5.743056633,5.903193613,5.873076923,5.80292851,5.887617261
Pyaar Ka Punchnama,2011,"Comedies, Dramas, International Movies",India,7.7,5.904761905,7.54135584,7.394263585,5.92266048,7.581493186,5.904761905,7.528687705,7.470788234,5.940127898,6.167774086,0,6.157088123,5.9829233,5.882160077
Pyaar Ke Side Effects,2006,"Comedies, International Movies, Romantic Movies",India,6.7,0,6.112152553,6.537681159,5.970077386,6.52535856,0,6.129885829,6.515384615,5.977224199,5.9,0,5.915909091,5.9,5.889017341
Qila,1998,"Dramas, International Movies",India,5.2,0,5.895049505,5.857959962,5.887573964,5.837209302,0,5.893756194,5.855109838,5.891016782,5.900398406,0,5.901098901,5.901197605,5.898101898
Quantum of Solace,2008,Action & Adventure,"United Kingdom, United States",6.6,5.956652361,6.492690326,6.596247333,6.681612154,6.597577779,5.933333333,6.491599815,6.595800034,6.679185638,6.57974244,5.912340842,6.533712121,6.562959043,6.633209785
Quartet,2012,"Comedies, Dramas, Independent Movies",United Kingdom,6.8,5.904191617,6.517956753,6.508830425,6.848984075,6.628418039,5.904191617,6.333027523,6.383630721,6.631429107,6.918071559,0,6.493326593,6.605795822,6.871086037
Queen of the Desert,2015,Dramas,"United States, Morocco",5.7,5.89582505,5.843994721,5.662513024,5.9,5.646303442,5.896207585,5.76882386,5.608225108,5.837551633,5.968592965,5.904191617,5.996057104,5.9,6.002241266
Raajneeti,2010,"Dramas, International Movies, Thrillers",India,7.1,5.913207547,7.070717327,6.85147178,6.095313627,7.005385161,5.909452736,7.056944444,6.754503128,6.041984733,6.538758901,5.902195609,6.160945843,6.363545151,5.975791434
Raat Akeli Hai,2020,"Dramas, International Movies, Thrillers",India,7.3,5.944749755,6.977702703,6.780511182,6.069480519,7.102510932,5.930374753,6.949278846,6.831519274,6.053112033,6.263179916,5.90329013,6.049557522,6.075630252,5.923679061
Race 2,2013,"Action & Adventure, International Movies, Music & Musicals",India,5.3,5.906281157,5.567601825,5.259776313,5.736809816,5.359148265,5.906281157,5.57213706,5.192184497,5.741539695,5.855928412,0,5.848257969,5.876687117,5.889393939
Ragini MMS,2011,"Horror Movies, International Movies",India,4.9,5.9000999,5.53699284,5.355166136,5.774345077,5.314355571,0,5.550795594,5.484245917,5.800369344,5.562828112,5.9000999,5.870712909,5.607913669,5.863405088
Raja Hindustani,1996,"Dramas, International Movies, Romantic Movies",India,6.2,5.908374875,6.150018748,5.976024934,5.878554595,6.064967595,5.908374875,6.138122218,5.9,5.867785235,6.094935937,0,5.978059072,6.026307922,5.914643188
Rajnigandha,1974,"Comedies, Dramas, Independent Movies",India,7.3,0,6.016773602,6.194154818,5.938745387,6.319607843,0,6.004902868,6.176404494,5.926168224,5.928214971,0,5.915841584,5.903343166,5.912426036
Ram Jaane,1995,"Dramas, International Movies, Music & Musicals",India,5.4,5.899100899,6.044074844,5.294477318,5.865152766,5.47905103,0,6.031460674,5.330663221,5.840528634,5.655941626,5.899100899,5.9,5.630008313,5.914126394
Ram Teri Ganga Maili,1985,"Classic Movies, Dramas, International Movies",India,6.7,0,6.022126188,6.149415003,5.970072993,6.172388516,0,6.009833187,6.09784792,5.941340782,6.020326679,0,5.913372665,5.987712665,5.925490196
Ramji Londonwaley,2005,"Comedies, Dramas, International Movies",India,6.7,0,6.048534202,6.134883721,5.923809524,6.190403745,0,6.018121363,6.116240498,5.906576402,5.991734787,0,5.929268293,5.952132701,5.914173228
Rang De Basanti,2006,"Dramas, International Movies",India,8.2,6.002459792,8.417065391,7.948917538,6.135897436,8.168783083,5.985291309,8.409784872,8.041025091,6.1240314,7.480755177,5.913902681,7.44171155,7.229144852,5.940793369
Rango,2011,"Children & Family Movies, Comedies",United States,7.2,6.216920609,7.276684542,7.187600862,7.041846378,7.290947008,6.14978903,7.367339474,7.184888641,7.031161083,6.872755755,5.961840844,6.922936808,6.846262561,6.64233445
Ready,2011,"Comedies, International Movies, Romantic Movies",India,4.7,5.888404361,4.989068408,4.756504214,5.62879257,4.814898506,5.892857143,5.000876552,4.854353356,5.666447908,5.372268908,0,5.706980273,5.437216339,5.847663551
Real Steel,2011,"Action & Adventure, Sci-Fi & Fantasy, Sports Movies","United States, India",7.1,6.054170249,7.280622837,6.992157366,6.765956803,6.994906393,6.021265378,7.178693415,6.991011603,6.760571278,7.256956188,5.914229249,7.358744593,7.123767079,6.811677078
Remember Me,2010,"Dramas, Romantic Movies",United States,7.1,5.935181644,7.269725148,6.98066546,6.699553571,6.980317426,5.895540139,7.131289641,6.964613157,6.477921172,7.177883258,5.932684825,7.249374412,7.054214201,6.88246214
Resident Evil: Afterlife,2010,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy","Germany, France, United States, Canada, United Kingdom",5.8,5.876328502,5.997154888,5.801203355,5.993772962,5.800838181,5.889105058,5.9,5.702747064,5.9,6.277893224,5.889264414,6.403194579,6.171269872,6.208575804
Revenge of the Green Dragons,2014,"Action & Adventure, Dramas, Independent Movies","Hong Kong, United States",5.3,5.901197605,5.714078675,5.455941499,5.679173646,5.456739812,0,5.735097897,5.470479134,5.691715286,5.744323484,5.901197605,5.863380282,5.807338638,5.870809793
Revolutionary Road,2008,"Dramas, Romantic Movies","United States, United Kingdom",7.3,6.011111111,7.360523199,7.285621264,7.139215411,7.287193209,5.965965583,7.333398455,7.279450748,7.027228623,7.370524082,5.921568627,7.211476446,7.348550849,7.048427673
Rock On!!,2008,"Dramas, International Movies, Music & Musicals",India,7.7,5.904865938,7.60618481,7.516719275,6.058469945,7.680832915,5.898807157,7.589826303,7.505236962,6.035302699,6.674310595,5.904095904,6.30329095,6.465740142,5.964029439
Rocky,1976,"Action & Adventure, Classic Movies, Dramas",United States,8.1,6.464150943,8.076518054,7.990063311,7.966241741,8.093674871,6.364405427,8.073615409,8.088467063,7.960814316,7.555415683,5.982708934,7.518785865,7.416261056,7.492363594
Rocky II,1979,"Dramas, Sports Movies",United States,7.3,6.092857143,7.353959484,7.184656241,6.952345882,7.190427663,6.056880734,7.349964975,7.183516971,6.947561615,6.983844739,5.922047244,6.842931766,6.812893349,6.541191245
Rocky III,1982,"Dramas, Sports Movies",United States,6.8,6.009009009,6.96172049,6.788240367,6.567469096,6.792694805,5.98336414,6.958609272,6.787437011,6.564405573,6.608119904,5.903849951,6.586932032,6.459719439,6.26340694
Rocky IV,1985,"Dramas, Sports Movies",United States,6.9,6.021832884,6.963108294,6.88814857,6.37777679,6.892456474,5.991966759,6.960063898,6.88731383,6.375601425,6.70550189,5.893583416,6.535568513,6.555647781,6.275196703
Rocky V,1990,"Dramas, Sports Movies",United States,5.3,5.9,5.61415495,5.310157784,5.061580568,5.306539652,5.894966762,5.615200649,5.212595365,5.066994194,5.731826862,5.901587302,5.952785647,5.67800312,5.601356102
Romance Doll,2020,"Dramas, International Movies, Romantic Movies",Japan,6.2,0,5.902629017,5.932273152,5.9,5.95105215,0,5.907072692,5.928571429,5.909803922,5.889017341,0,5.892063492,5.901574803,5.888888889
Rowdy Rathore,2012,"Action & Adventure, Comedies, International Movies",India,5.7,5.904433498,5.9,5.478653453,5.779650721,5.715254367,5.903264095,5.814230824,5.566323993,5.778087649,5.725479143,5.902195609,5.925037481,5.642911877,5.911142587
Run,2004,"Action & Adventure, International Movies, Music & Musicals",India,4.8,0,5.722083981,5.464652568,5.821804511,5.418672199,0,5.731412786,5.528930818,5.84092219,5.720162016,0,5.873895976,5.767669173,5.877517107
Sadma,1983,"Dramas, International Movies, Romantic Movies",India,8.4,0,6.626950355,7.490291262,6.06462585,7.56998672,0,6.561764706,7.430041152,6.025874126,6.340816327,0,6.000763359,6.225329815,5.949514563
Safety Not Guaranteed,2012,"Comedies, Independent Movies, Romantic Movies",United States,7,5.909486166,6.955220843,6.883530691,6.924924925,6.986371802,5.908704253,6.939600264,6.879607235,6.818453886,6.948010209,5.901098901,6.84348321,6.907772281,6.718805591
Sangam,1964,"Classic Movies, Dramas, International Movies",India,7.5,0,6.233007335,6.577809798,6.039222316,6.706742687,0,6.212698413,6.51599016,6.01875,6.13597613,0,5.927237354,6.078985507,5.919727891
Santana,2020,"Action & Adventure, International Movies","South Africa, Angola",3.9,0,5.838834951,5.676639712,5.817507136,5.557322176,0,5.853658537,5.69818347,5.817557252,5.8765286,0,5.889054726,5.889264414,5.901098901
Satte Pe Satta,1982,"Comedies, Cult Movies, Dramas",India,7.2,0,6.31976593,6.691193738,6.029967427,6.794003748,0,6.293548387,6.727870862,6.010774411,6.049374479,0,5.946711153,5.981073703,5.924975892
Saving Mr. Banks,2013,"Comedies, Dramas","United States, United Kingdom, Australia",7.5,5.999061914,7.548246469,7.37598463,7.423986888,7.382594166,5.965963567,7.424946055,7.269051882,7.306384572,7.649958299,5.93496572,7.641903811,7.501819232,7.465434055
Scary Movie 5,2013,"Comedies, Horror Movies",United States,3.5,5.759887006,3.801019377,3.5008756,4.053559456,3.553528415,5.779425837,3.730548303,3.516030818,4.106273388,4.035109718,5.889108911,4.313137781,4.180808081,5.195006935
Schindler's List,1993,"Classic Movies, Dramas",United States,8.9,7.138138138,8.986166272,8.893605607,8.679034698,8.895793771,6.939297772,8.982095207,8.892188293,8.674161637,8.980609851,6.189738974,8.934673579,8.862232797,8.773031996
School Daze,1988,"Comedies, Dramas",United States,6,5.905472637,5.986931818,5.970466627,5.835186488,5.82119093,5.901098901,5.992070824,5.835373187,5.781300813,6.364375605,5.886454183,5.880831826,6.31976593,6.083775811
Scott Pilgrim vs. the World,2010,"Action & Adventure, Comedies, Cult Movies","United States, United Kingdom, Canada, Japan",7.5,6.401158301,7.582547993,7.490156572,7.053486569,7.49340845,6.305436573,7.675447738,7.488233996,7.14207548,7.273964145,5.982442748,7.335902914,7.245192609,6.792780338
Scream 2,1997,Horror Movies,United States,6.2,5.947623486,6.379879276,5.998702731,6.08800096,6.09796595,5.931279621,6.373751903,5.998415013,6.086052999,6.186808548,5.910671937,6.322227407,6.085856729,6.240408554
Scream 3,2000,Horror Movies,United States,5.6,5.895147479,5.804822531,5.408195243,5.623674242,5.505108296,5.888461538,5.80622084,5.409945696,5.536636747,5.805605067,5.90417495,5.981357196,5.627095376,5.961817488
Sen Kimsin?,2012,"Comedies, International Movies",Turkey,5.1,5.898406375,5.529621125,5.170121131,5.714995925,5.196335079,5.897308076,5.605592105,5.198262129,5.732639467,5.56517664,5.901098901,5.734482759,5.701694915,5.877517107
Seriously Single,2020,"Comedies, International Movies, Romantic Movies",South Africa,4.2,5.898101898,5.674414571,5.557827476,5.763937443,5.510305958,0,5.823076923,5.695332136,5.793939394,5.597697621,0,5.744043321,5.734567901,5.9
Sex and the City 2,2010,"Comedies, Dramas, Romantic Movies",United States,4.5,5.9,5.05352364,4.245328498,4.236142182,3.680622546,5.898406375,4.247161951,3.62987013,4.024589256,5.220372526,5.901492537,5.534112229,5.045977011,5.041102899
SGT. Will Gardner,2019,Dramas,United States,5.9,5.894317049,5.911498586,5.796688742,5.995585997,5.866050198,5.895209581,5.916122841,5.796252129,5.959615385,5.961400359,5.899100899,5.895275591,5.908171206,5.966855524
Shabd,2005,"Dramas, International Movies, Romantic Movies",India,5.1,0,5.729187396,5.556621005,5.881488203,5.493962678,0,5.751709027,5.567465322,5.86022409,5.878988942,0,5.87593985,5.871821306,5.911650485
Shaitan,2011,"Action & Adventure, Dramas, Independent Movies",India,7.2,5.895104895,7.001712862,6.936522092,5.862337662,7.10617472,5.895104895,6.978147423,6.922577892,5.867504188,6.224806202,0,6.086572438,6.105691057,5.893050193
Shanghai,2012,"Dramas, Independent Movies, International Movies",India,7.2,5.895104895,7.013402062,6.957009346,5.922178988,7.134319527,5.895104895,7.000745275,7.026402189,5.919678715,6.011607787,0,5.978629396,5.934574028,5.903753609
Shararat,2002,"Comedies, International Movies, Music & Musicals",India,4.6,0,5.833144476,5.617214397,5.875486381,5.575268817,0,5.839712919,5.63452188,5.868239921,5.839552239,0,5.892300099,5.849425287,5.9
Sherlock Holmes,2009,"Action & Adventure, Comedies","United States, Germany, United Kingdom, Australia",7.6,6.253998416,7.787309221,7.49365769,7.271031886,7.595516606,6.191549296,7.783463018,7.492255979,7.265100337,7.679718538,5.962015504,7.840668664,7.56120847,7.311097993
Shimmer Lake,2017,"Dramas, Independent Movies, Thrillers","Canada, United States",6.2,5.896825397,6.08588817,6.142900647,6.165771812,6.162373009,5.898807157,6.068881119,6.133993399,6.14871407,6.131508003,5.899201597,5.970642202,6.017184644,6.040933435
Shootout at Lokhandwala,2007,"Action & Adventure, Dramas, International Movies",India,7.1,5.9000999,6.994923035,6.695835035,5.984542587,6.949812265,5.9000999,7.057154719,6.687865931,5.974796748,5.991595991,0,5.947014925,5.914310197,5.924975892
Shutter,2004,"Horror Movies, International Movies",Thailand,7.1,5.912426036,6.969437493,7.046038313,6.610964083,6.959532043,5.907135778,6.920600987,7.03220722,6.575224775,6.962148191,5.905472637,6.745808737,6.956645451,6.310029499
Si Doel the Movie 2,2019,"Dramas, International Movies",Indonesia,7,0,5.909375,5.941227229,5.90329013,5.959266228,0,5.906416584,5.930067895,5.90329013,5.901283317,0,5.897014925,5.902385686,0
Simon Killer,2012,"Dramas, Independent Movies, Thrillers","United States, France",6.3,5.905189621,6.282758621,6.163806605,5.858719906,6.198373984,5.902097902,6.278109453,6.148656829,5.862617408,5.967285999,0,5.921587868,5.942767296,5.883150183
Singham,2011,"Action & Adventure, Dramas, International Movies",India,6.8,5.92053307,6.721332857,6.493357709,6.043112063,6.630933264,5.915232443,6.713953488,6.488268156,6.025748503,6.079281591,5.901098901,5.996221662,5.941646873,5.945283019
Skyline,2010,"Action & Adventure, Sci-Fi & Fantasy",United States,4.4,5.8839445,4.325220978,4.333795201,4.871022727,4.422097169,5.884011917,4.25308726,4.338011071,4.879210773,4.566796397,5.9000999,4.963063063,4.582585659,5.265904278
Sleepover,2004,"Comedies, Romantic Movies",United States,5.4,5.894438928,5.646882325,5.146412884,5.518471338,4.925056264,5.897308076,5.372320499,4.977577694,5.531266846,5.72282063,5.906374502,5.818487706,5.536911281,5.80052592
Sliver,1993,Thrillers,United States,5.1,5.897219464,5.55146689,5.066191072,5.108879748,5.046731398,5.897308076,5.559897172,5.07814535,5.124343741,5.435869565,5.90438247,5.810378682,5.504498978,5.516883794
Small Soldiers,1998,"Action & Adventure, Comedies, Sci-Fi & Fantasy",United States,6.2,5.9,6.373716028,5.997752102,6.081813222,6.19551214,5.905522682,6.464298465,5.997482567,6.079440789,6.077347378,5.89561753,6.167637326,5.9,6.112734082
Smart People,2008,"Comedies, Dramas, Independent Movies",United States,6.1,5.900199601,6.027745665,6.085871715,6.140357853,6.180677573,5.9000999,6.003474903,6.17271487,6.129361903,5.982059562,5.9000999,5.9,5.975272008,5.985057471
